
n       HLT Path Name   Index 0 Emergency       Index 1 2.2e34  Index 2 2.0e34  Index 3 1.6e34  Index 4 1.4e34  Index 5 1.2e34  Index 6 1.0e34  Index 7 8.0e33  Index 8 5.0e33  Index 9 1.0e34 backup   Index 10 900b   Index 11 1.6e34 + ZeroBias      
135     HLT_DiPFJetAve60_HFJEC_v15 (2110138)                            0       1       1       1       1       1       1       1       1       1       1       1       
136     HLT_DiPFJetAve60_v14 (2110128)                                  0       5       5       4       4       3       3       2       2       3       3       4       
137     HLT_DiPFJetAve80_HFJEC_v15 (2110139)                            0       1       1       1       1       1       1       1       1       1       1       1       
138     HLT_DiPFJetAve80_v13 (2110129)                                  0       1       1       1       1       1       1       1       1       1       1       1       
139     HLT_DiSC30_18_EIso_AND_HE_Mass70_v13 (2110462)                  0       256     256     256     256     256     256     256     256     256     256     256     
140     HLT_Dimuon0_Jpsi3p5_Muon2_v6 (2110334)                          0       1       1       1       1       1       1       1       1       1       1       1       
141     HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v7 (2110332)                     0       300     300     300     300     300     300     300     300     300     300     300     
142     HLT_Dimuon0_Jpsi_L1_NoOS_v7 (2110328)                           0       16      16      16      16      16      16      16      16      16      16      16      
143     HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v7 (2110333)         0       300     300     300     300     300     300     300     300     300     300     300     
144     HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v7 (2110329)                  0       16      16      16      16      16      16      16      16      16      16      16      
145     HLT_Dimuon0_Jpsi_NoVertexing_v8 (2110331)                       0       16      16      16      16      16      16      16      16      16      16      16      
146     HLT_Dimuon0_Jpsi_v8 (2110330)                                   0       16      16      16      16      16      16      16      16      16      16      16      
147     HLT_Dimuon0_LowMass_L1_0er1p5R_v7 (2110342)                     0       0       0       0       0       0       0       0       0       0       0       0       
148     HLT_Dimuon0_LowMass_L1_0er1p5_v8 (2110343)                      0       1       1       1       1       1       1       1       1       1       1       1      
149     HLT_Dimuon0_LowMass_L1_4R_v7 (2110346)                          0       0       0       0       0       0       0       0       0       0       0       0       
150     HLT_Dimuon0_LowMass_L1_4_v8 (2110345)                           0       2       2       2       2       2       2       2       2       2       2       2       
151     HLT_Dimuon0_LowMass_L1_TM530_v6 (2110347)                       0       18      18      18      18      18      18      18      18      18      18      18      
152     HLT_Dimuon0_LowMass_v8 (2110344)                                0       32      32      32      32      32      32      32      32      32      32      32      
153     HLT_Dimuon0_Upsilon_L1_4p5NoOS_v8 (2110337)                     0       0       0       0       0       0       0       0       0       0       0       0       
154     HLT_Dimuon0_Upsilon_L1_4p5_v9 (2110335)                         0       16      16      16      16      16      16      16      16      16      16      16      
155     HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v7 (2110339)                   0       180     180     180     180     180     180     180     180     180     180     180     
156     HLT_Dimuon0_Upsilon_L1_4p5er2p0_v9 (2110338)                    0       1       1       1       1       1       1       1       1       1       1       1       
157     HLT_Dimuon0_Upsilon_L1_5M_v8 (2110341)                          0       0       0       0       0       0       0       0       0       0       0       0       
158     HLT_Dimuon0_Upsilon_L1_5_v9 (2110336)                           0       0       0       0       0       0       0       0       0       0       0       0       
159     HLT_Dimuon0_Upsilon_Muon_L1_TM0_v6 (2110348)                    0       0       0       0       0       0       0       0       0       0       0       0       
160     HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v6 (2110349)                  0       1       1       1       1       1       1       1       1       1       1       1       
161     HLT_Dimuon0_Upsilon_NoVertexing_v7 (2110340)                    0       180     180     180     180     180     180     180     180     180     180     180     
162     HLT_Dimuon10_PsiPrime_Barrel_Seagulls_v7 (2110415)              0       0       0       0       0       0       0       0       0       0       0       0       
163     HLT_Dimuon12_Upsilon_y1p4_v2 (2110417)                          0       1       1       1       1       1       1       1       1       1       1       1       
164     HLT_Dimuon14_Phi_Barrel_Seagulls_v7 (2110418)                   0       1       1       1       1       1       1       1       1       1       1       1       
